year,tourney_date,surface,tourney_level,winner_id,winner_name,winner_rank,winner_age,winner_ht,loser_id,loser_name,loser_rank,loser_age,loser_ht,w_ace,w_df,w_bpSaved,w_bpFaced,l_ace,l_df,l_bpSaved,l_bpFaced,winner_cluster,loser_cluster,elo_winner,elo_loser
2018,20180101,Hard,A,105992,Ryan Harrison,47.0,25.6,185.0,104919,Leonardo Mayer,52.0,30.6,188.0,9.0,2.0,8.0,9.0,10.0,3.0,1.0,4.0,4,4,1500.0,1500.0
2018,20180101,Hard,A,111577,Jared Donaldson,54.0,21.2,188.0,111442,Jordan Thompson,94.0,23.7,183.0,5.0,3.0,4.0,5.0,3.0,5.0,7.0,11.0,4,3,1500.0,1500.0
2018,20180101,Hard,A,104797,Denis Istomin,63.0,31.3,185.0,106000,Damir Dzumhur,30.0,25.6,175.0,7.0,0.0,9.0,11.0,8.0,6.0,10.0,16.0,1,3,1500.0,1500.0
2018,20180101,Hard,A,200282,Alex De Minaur,208.0,18.8,183.0,105449,Steve Johnson,44.0,28.0,188.0,9.0,3.0,2.0,3.0,6.0,2.0,4.0,6.0,0,4,1500.0,1500.0
2018,20180101,Hard,A,111581,Michael Mmoh,175.0,19.9,188.0,105643,Federico Delbonis,68.0,27.2,193.0,5.0,4.0,3.0,3.0,4.0,0.0,0.0,2.0,4,1,1500.0,1500.0
2018,20180101,Hard,A,104999,Mischa Zverev,33.0,30.3,190.0,105441,John Patrick Smith,218.0,28.9,188.0,4.0,1.0,3.0,6.0,4.0,0.0,1.0,6.0,4,-1,1500.0,1500.0
2018,20180101,Hard,A,105238,Alexandr Dolgopolov,38.0,29.1,180.0,106043,Diego Schwartzman,26.0,25.3,170.0,6.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,-1,3,1500.0,1500.0
2018,20180101,Hard,A,104547,Horacio Zeballos,66.0,32.6,188.0,124014,Ernesto Escobedo,120.0,21.4,185.0,12.0,3.0,1.0,1.0,9.0,0.0,4.0,6.0,4,1,1500.0,1500.0
2018,20180101,Hard,A,105051,Matthew Ebden,76.0,30.0,188.0,126207,Frances Tiafoe,79.0,19.9,188.0,7.0,1.0,2.0,3.0,4.0,4.0,1.0,5.0,4,0,1500.0,1500.0
2018,20180101,Hard,A,111202,Hyeon Chung,58.0,21.6,188.0,104180,Gilles Muller,25.0,34.6,193.0,7.0,4.0,2.0,2.0,19.0,5.0,3.0,5.0,0,4,1500.0,1500.0
2018,20180101,Hard,A,106378,Kyle Edmund,50.0,22.9,188.0,133430,Denis Shapovalov,51.0,18.7,185.0,5.0,5.0,5.0,6.0,18.0,5.0,1.0,3.0,0,4,1500.0,1500.0
2018,20180101,Hard,A,105357,John Millman,128.0,28.5,183.0,105166,Peter Polansky,137.0,29.5,180.0,8.0,0.0,1.0,1.0,1.0,1.0,7.0,10.0,3,1,1500.0,1500.0
2018,20180101,Hard,A,105992,Ryan Harrison,47.0,25.6,185.0,105870,Yannick Hanfmann,119.0,26.1,193.0,19.0,5.0,8.0,9.0,5.0,5.0,7.0,11.0,4,3,1516.0,1500.0
2018,20180101,Hard,A,104797,Denis Istomin,63.0,31.3,185.0,111577,Jared Donaldson,54.0,21.2,188.0,6.0,1.0,5.0,7.0,4.0,9.0,5.0,9.0,1,4,1516.0,1516.0
2018,20180101,Hard,A,200282,Alex De Minaur,208.0,18.8,183.0,105683,Milos Raonic,24.0,27.0,196.0,5.0,0.0,5.0,6.0,9.0,4.0,7.0,10.0,0,2,1516.0,1500.0
2018,20180101,Hard,A,111581,Michael Mmoh,175.0,19.9,188.0,104999,Mischa Zverev,33.0,30.3,190.0,12.0,3.0,6.0,8.0,11.0,3.0,4.0,8.0,4,4,1516.0,1516.0
